origin,asylum_seekers
Afghanistan,1795
Albania,84
Algeria,16
American Samoa,3
Andorra,3
Angola,3
Antigua and Barbuda,3
Argentina,21
Armenia,0
Australia,0
Austria,3
Azerbaijan,14
Bahamas,0
Bahrain,18
Bangladesh,857
Barbados,0
Belarus,6
Belgium,0
Belize,0
Benin,0
Bhutan,20
Bolivia,0
Bosnia and Herzegovina,15
Botswana,3
Brazil,25
Brunei,10
Bulgaria,6
Burkina Faso,1
Burma,243
Burundi,33
Cambodia,192
Cameroon,40
Canada,6
Cape Verde,0
Central African Republic,0
Chad,4
Chile,14
China,8525
"China, Hong Kong SAR",57
Colombia,102
Comoros,0
Congo,12
Cook Islands,0
Costa Rica,0
Croatia,1
Cuba,6
Cyprus,9
Czech Republic,2
Democratic Republic of the Congo,61
Denmark,0
Djibouti,3
Dominica,3
Ecuador,3
Egypt,230
El Salvador,18
Eritrea,28
Estonia,7
Ethiopia,267
Federated States of Micronesia,0
Fiji,462
Finland,3
France,12
Gabon,4
Gambia,7
Georgia,13
Germany,8
Ghana,91
Greece,12
Grenada,0
Guatemala,3
Guinea,9
Guinea-Bissau,0
Guyana,0
Haiti,4
Honduras,7
Hungary,3
Iceland,0
India,2300
Indonesia,775
Iran,5877
Iraq,1563
Ireland,12
Israel,31
Italy,12
Ivory Coast,3
Jamaica,3
Japan,9
Jordan,113
Kazakhstan,5
Kenya,81
Kiribati,0
Kuwait,4
Kyrgyzstan,13
Laos,37
Latvia,2
Lebanon,668
Lesotho,0
Liberia,25
Libya,133
Lithuania,6
Luxembourg,0
Macedonia,30
Madagascar,6
Malawi,10
Malaysia,8539
Maldives,17
Mali,7
Malta,0
Mauritania,3
Mauritius,59
Mexico,8
Moldova,6
Mongolia,51
Montenegro,0
Morocco,8
Mozambique,3
Namibia,0
Nauru,0
Nepal,327
Netherlands,1
Netherlands Antilles,0
New Zealand,27
Nicaragua,3
Niger,0
Nigeria,305
Niue,0
North Korea,5
Norway,9
Oman,1
Pakistan,2351
Palau,0
Palestine,152
Panama,0
Papua New Guinea,372
Paraguay,0
Peru,21
Philippines,287
Poland,3
Portugal,6
Puerto Rico,0
Qatar,3
Romania,13
Russia,33
Rwanda,65
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,10
Sao Tome and Principe,0
Saudi Arabia,97
Senegal,3
Serbia,23
Seychelles,1
Sierra Leone,41
Singapore,7
Slovakia,3
Slovenia,0
Solomon Islands,106
Somalia,257
South Africa,88
South Korea,107
South Sudan,27
Spain,0
Sri Lanka,3258
Stateless,2290
Sudan,303
Suriname,0
Swaziland,0
Sweden,3
Switzerland,0
Syria,130
Tajikistan,0
Tanzania,12
Thailand,413
Tibet,5
Timor-Leste,1
Togo,3
Tonga,96
Trinidad and Tobago,0
Tunisia,13
Turkey,441
Turkmenistan,0
Tuvalu,0
Uganda,45
Ukraine,82
United Arab Emirates,3
United Kingdom,29
United States,31
Uruguay,6
Uzbekistan,10
Vanuatu,7
Various/Unknown,398
Venezuela,80
Vietnam,1583
Yemen,12
Zambia,24
Zimbabwe,117
